City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temperature,Wind Speeds
El Puerto de Santa María,0,ES,93,36.59,-6.23,57.2,3.36
Port,94,CD,60,-7.03,29.76,73.56,5.66
Rikitea,0,PF,67,-23.12,-134.97,76.08,7.36
Hobart,75,AU,67,-42.88,147.33,64.99,8.05
Hermanus,0,ZA,80,-34.42,19.23,57.0,5.01
Calabozo,100,VE,89,8.92,-67.43,78.1,4.97
Upernavik,100,GL,95,72.79,-56.15,16.02,13.31
Khatanga,60,RU,87,71.97,102.5,-5.53,9.84
Nelson,0,NZ,39,-41.28,173.28,73.99,4.0
Castro,35,BR,94,-24.79,-50.01,52.05,6.8
Ushuaia,75,AR,87,-54.8,-68.3,48.2,5.82
Naze,40,JP,78,28.37,129.48,77.0,14.99
Mahébourg,40,MU,72,-20.41,57.7,68.0,9.17
Key,75,US,36,32.73,-101.8,62.6,10.29
Carnarvon,40,AU,64,-24.87,113.63,75.2,17.22
Kaitangata,93,NZ,55,-46.28,169.85,60.01,15.01
San,66,ML,18,13.3,-4.9,79.68,6.22
Palana,100,RU,85,59.12,159.97,34.27,4.09
Lohja,58,FI,96,60.25,24.07,45.0,5.01
Port,94,CD,60,-7.03,29.76,73.56,5.66
Merauke,59,ID,54,-8.47,140.33,85.93,11.5
Waddān,0,LY,86,29.16,16.14,57.4,3.4
Begoro,80,GH,100,6.39,-0.38,70.39,3.49
George Town,20,MY,83,5.41,100.34,80.6,3.36
Dali,78,CN,86,25.7,100.18,58.62,4.05
New,53,LR,97,6.65,-10.59,73.49,1.01
Tondano,20,ID,79,1.3,124.91,84.2,2.24
Samarai,91,PG,78,-10.62,150.67,82.56,9.75
Akola,0,IN,60,20.73,77.0,69.12,2.53
Chokurdakh,75,RU,91,70.63,147.92,-8.3,7.63
Jalu,27,LY,76,29.03,21.55,63.79,6.49
Atuona,13,PF,76,-9.8,-139.03,78.24,17.05
Daneş,0,RO,93,46.22,24.7,37.4,4.7
Port,94,CD,60,-7.03,29.76,73.56,5.66
Kavieng,1,PG,72,-2.57,150.8,85.35,9.89
Busselton,100,AU,77,-33.65,115.33,60.01,1.3
Airai,0,TL,37,-8.93,125.41,75.69,3.24
Noumea,0,NC,43,-22.28,166.46,91.4,10.29
Mataura,100,NZ,74,-46.19,168.86,57.0,17.0
Jamestown,1,US,74,42.1,-79.24,39.99,8.05
Atar,87,MR,16,20.52,-13.05,83.23,9.33
Baní,96,DO,83,18.28,-70.33,81.0,4.0
Punta,100,PH,65,8.99,125.34,84.36,2.13
Coyhaique,0,CL,51,-45.58,-72.07,59.0,2.66
Saint Paul Harbor,1,US,37,57.79,-152.41,37.4,10.29
Andenes,100,NO,75,69.31,16.12,42.8,17.22
Kindu,90,CD,95,-2.95,25.95,66.67,0.34
Alice,1,US,68,27.75,-98.07,68.0,6.93
Albany,0,US,83,42.6,-73.97,32.0,4.94
Cherskiy,100,RU,89,68.75,161.3,11.43,3.13
Pevek,76,RU,94,69.7,170.31,15.64,12.28
